Candidate,Number of Members,Mean RA (degrees),Mean Dec (degrees),Mean Distance (pc),RA Projected Radii (pc),Dec Projected Radii (pc),Distance Range (pc),Constellation
1,294,257.930233581594,-29.7703997525121,45.737141979932,8.23955622173214,9.02052053400555,9.9202996,Ophiuchus
2,430,268.197403683321,-35.3913295925586,44.5421402786046,6.53684908833842,8.45786307816306,15.9237213,Scorpius
3,10,277.625943514126,-21.427110757486,45.00387689,1.66224905597416,1.12671960734605,1.8167419,Sagittarius
4,711,265.622192052326,-21.1706759034474,42.4748097288326,7.66234330304999,9.92599366277533,22.0965176,Ophiuchus
5,69,292.87681958975,24.4517547647646,43.5471810594203,3.23090260504564,2.59223901592812,13.0664177,Vulpecula
6,29,287.939390518881,1.41183360212793,45.4340645448276,5.03524536538585,4.77502698534656,7.14748,Aquila
7,9,204.3324772203,-58.4229549337667,46.4438332555556,2.39404451262165,1.12929914566389,1.7837525,Centaurus
8,101,66.8294196011591,16.5518389002429,46.2803530138614,4.71899929503992,7.20603544543957,7.0289078,Taurus
